PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,WE_STATUS,MIRO_STATUS,F110_STATUS,TOTAL_VALUE,Delivery_Delay_Days,COST_SAVINGS,DEFECT_RATE,Vendor_Risk
PO-00014,Beta_Supplies,2022-02-02,,MRO,Delivered,5000,18.3,16.88,,Yes,Pending,Verified,Paid,84400.0,,7100.000000000008,,Low Risk
PO-00015,Delta_Logistics,2022-01-31,2022-02-18,Electronics,Pending,5000,54.5,48.45,22.0,Yes,Completed,Pending,Not Paid,242250.0,18.0,30249.999999999985,0.0044,Low Risk
PO-00016,Beta_Supplies,2022-04-06,2022-04-21,Packaging,Delivered,5000,15.41,15.12,,Yes,Completed,Verified,Paid,75600.0,15.0,1450.0000000000045,,Low Risk
PO-00017,Delta_Logistics,2022-08-12,2022-08-31,MRO,Delivered,1173,61.54,55.49,172.0,No,Completed,Verified,Paid,65089.770000000004,19.0,7096.649999999997,0.1466325660699062,High Risk
PO-00018,Epsilon_Group,2022-08-27,2022-09-04,Raw Materials,Delivered,921,51.48,50.61,,Yes,Completed,Verified,Paid,46611.81,8.0,801.2699999999976,,Low Risk
PO-00019,Gamma_Co,2023-06-02,2023-06-05,Raw Materials,Partially Delivered,1737,97.53,87.37,79.0,Yes,Completed,Pending,Not Paid,151761.69,3.0,17647.919999999995,0.04548071387449626,Low Risk
PO-00020,Delta_Logistics,2023-09-09,2023-09-24,Raw Materials,Delivered,180,45.74,38.89,,No,Completed,Verified,Paid,7000.2,15.0,1233.0000000000002,,Low Risk
PO-00021,Epsilon_Group,2022-01-28,2022-02-12,Electronics,Cancelled,1735,20.54,19.69,49.0,Yes,Completed,Pending,Not Paid,34162.15,15.0,1474.7499999999964,0.02824207492795389,Low Risk
PO-00022,Delta_Logistics,2023-07-29,2023-08-11,Raw Materials,Delivered,1382,24.93,23.75,,Yes,Completed,Verified,Paid,32822.5,13.0,1630.7599999999995,,Low Risk
PO-00023,Epsilon_Group,2022-07-23,2022-08-08,MRO,Delivered,819,80.89,77.03,29.0,Yes,Completed,Verified,Paid,63087.57,16.0,3161.3399999999997,0.03540903540903541,Low Risk
PO-00024,Beta_Supplies,2023-10-28,2023-11-03,Office Supplies,Partially Delivered,393,72.53,66.31,42.0,No,Completed,Pending,Not Paid,26059.83,6.0,2444.4599999999996,0.10687022900763359,High Risk
PO-00025,Beta_Supplies,2023-12-20,2024-01-01,MRO,Delivered,1565,21.3,20.09,161.0,Yes,Completed,Verified,Paid,31440.85,12.0,1893.6500000000012,0.10287539936102237,High Risk
PO-00026,Epsilon_Group,2023-07-13,2023-07-24,Packaging,Delivered,1487,19.15,17.24,,Yes,Completed,Verified,Paid,25635.879999999997,11.0,2840.17,,Low Risk
PO-00027,Alpha_Inc,2023-03-06,2023-03-26,MRO,Delivered,855,78.2,67.16,17.0,Yes,Completed,Verified,Paid,57421.799999999996,20.0,9439.200000000006,0.019883040935672516,Low Risk
PO-00028,Epsilon_Group,2022-08-14,2022-08-23,Raw Materials,Delivered,435,17.13,15.84,8.0,Yes,Completed,Verified,Paid,6890.4,9.0,561.1499999999996,0.01839080459770115,Low Risk
PO-00029,Delta_Logistics,2023-04-05,2023-04-22,MRO,Delivered,1265,90.26,79.47,187.0,Yes,Completed,Verified,Paid,100529.55,17.0,13649.350000000008,0.14782608695652175,High Risk
PO-00030,Epsilon_Group,2023-08-27,,MRO,Delivered,1005,80.55,73.31,30.0,Yes,Pending,Verified,Paid,73676.55,,7276.199999999995,0.029850746268656716,Low Risk
PO-00031,Gamma_Co,2022-10-12,2022-10-26,Electronics,Delivered,326,18.1,15.92,,No,Completed,Verified,Paid,5189.92,14.0,710.6800000000005,,Low Risk
PO-00032,Alpha_Inc,2022-01-07,2022-01-15,Office Supplies,Delivered,1234,17.64,15.66,26.0,Yes,Completed,Verified,Paid,19324.44,8.0,2443.3200000000006,0.02106969205834684,Low Risk
PO-00033,Epsilon_Group,2022-06-13,2022-06-29,MRO,Delivered,509,101.27,97.82,19.0,Yes,Completed,Verified,Paid,49790.38,16.0,1756.0500000000015,0.03732809430255403,Low Risk
PO-00034,Alpha_Inc,2023-12-16,2023-12-17,Packaging,Delivered,1387,48.71,43.71,27.0,Yes,Completed,Verified,Paid,60625.770000000004,1.0,6935.0,0.01946647440519106,Low Risk
PO-00035,Alpha_Inc,2023-03-09,2023-03-17,MRO,Delivered,71,46.39,43.18,0.0,Yes,Completed,Verified,Paid,3065.78,8.0,227.91000000000005,0.0,Low Risk
PO-00036,Epsilon_Group,2022-12-15,2022-12-23,Office Supplies,Delivered,302,87.73,81.52,9.0,Yes,Completed,Verified,Paid,24619.039999999997,8.0,1875.4200000000023,0.029801324503311258,Low Risk
PO-00037,Epsilon_Group,2022-10-12,2022-10-31,Office Supplies,Pending,797,99.54,91.37,18.0,Yes,Completed,Pending,Not Paid,72821.89,19.0,6511.490000000002,0.02258469259723965,Low Risk
PO-00038,Beta_Supplies,2022-06-09,2022-06-27,Office Supplies,Pending,906,101.21,90.9,94.0,Yes,Completed,Pending,Not Paid,82355.40000000001,18.0,9340.85999999999,0.10375275938189846,High Risk
PO-00039,Epsilon_Group,2022-08-09,2022-08-23,Office Supplies,Delivered,1634,80.53,76.15,50.0,Yes,Completed,Verified,Paid,124429.1,14.0,7156.919999999993,0.030599755201958383,Low Risk
PO-00040,Epsilon_Group,2022-12-11,,Office Supplies,Delivered,524,46.28,39.65,14.0,Yes,Pending,Verified,Paid,20776.6,,3474.1200000000013,0.026717557251908396,Low Risk
PO-00041,Beta_Supplies,2022-04-15,2022-04-27,Electronics,Delivered,1132,17.78,15.36,96.0,Yes,Completed,Verified,Paid,17387.52,12.0,2739.440000000002,0.08480565371024736,Low Risk
PO-00042,Beta_Supplies,2022-04-05,2022-04-14,Office Supplies,Delivered,560,81.14,77.87,34.0,No,Completed,Verified,Paid,43607.200000000004,9.0,1831.1999999999978,0.060714285714285714,Low Risk
PO-00043,Gamma_Co,2023-01-25,2023-02-02,Electronics,Delivered,1755,63.87,58.4,85.0,Yes,Completed,Verified,Paid,102492.0,8.0,9599.849999999999,0.04843304843304843,Low Risk
PO-00044,Epsilon_Group,2022-04-10,2022-04-17,MRO,Delivered,1549,48.9,42.42,48.0,Yes,Completed,Verified,Paid,65708.58,7.0,10037.519999999995,0.030987734021949646,Low Risk
PO-00045,Delta_Logistics,2023-01-03,2023-01-21,MRO,Delivered,749,97.07,94.16,123.0,Yes,Completed,Verified,Paid,70525.84,18.0,2179.5899999999974,0.16421895861148197,High Risk
PO-00046,Alpha_Inc,2022-12-19,,Electronics,Delivered,1025,21.11,19.25,15.0,Yes,Pending,Verified,Paid,19731.25,,1906.4999999999993,0.014634146341463415,Low Risk
PO-00047,Beta_Supplies,2023-09-11,2023-09-18,Raw Materials,Delivered,1856,59.77,50.81,191.0,Yes,Completed,Verified,Paid,94303.36,7.0,16629.760000000002,0.10290948275862069,High Risk
PO-00048,Epsilon_Group,2022-09-28,2022-10-14,Office Supplies,Delivered,239,11.46,11.28,4.0,Yes,Completed,Verified,Paid,2695.92,16.0,43.02000000000036,0.016736401673640166,Low Risk
PO-00049,Delta_Logistics,2022-02-14,2022-03-05,Office Supplies,Pending,1007,52.44,46.06,167.0,Yes,Completed,Pending,Not Paid,46382.420000000006,19.0,6424.659999999995,0.16583912611717974,High Risk
PO-00050,Alpha_Inc,2023-04-16,,MRO,Pending,736,16.2,15.33,18.0,Yes,Pending,Pending,Not Paid,11282.88,,640.3199999999995,0.024456521739130436,Low Risk
PO-00051,Epsilon_Group,2023-07-04,2023-07-14,Electronics,Delivered,1007,22.56,19.59,,Yes,Completed,Verified,Paid,19727.13,10.0,2990.789999999999,,Low Risk
PO-00052,Delta_Logistics,2022-05-08,,Office Supplies,Delivered,612,20.99,19.75,102.0,Yes,Pending,Verified,Paid,12087.0,,758.8799999999991,0.16666666666666666,High Risk
PO-00053,Alpha_Inc,2023-01-23,2023-02-02,MRO,Pending,1949,72.53,63.26,48.0,No,Completed,Pending,Not Paid,123293.73999999999,10.0,18067.230000000007,0.024628014366341714,Low Risk
PO-00054,Delta_Logistics,2022-03-22,2022-03-28,Office Supplies,Cancelled,1640,77.92,76.41,262.0,No,Completed,Pending,Not Paid,125312.4,6.0,2476.4000000000083,0.1597560975609756,High Risk
PO-00055,Beta_Supplies,2023-07-20,2023-08-07,Electronics,Delivered,1317,68.13,60.52,136.0,Yes,Completed,Verified,Paid,79704.84000000001,18.0,10022.36999999999,0.10326499620349279,High Risk
PO-00056,Epsilon_Group,2022-10-28,2022-10-30,Raw Materials,Delivered,881,100.94,95.05,30.0,Yes,Completed,Verified,Paid,83739.05,2.0,5189.09,0.0340522133938706,Low Risk
PO-00057,Delta_Logistics,2023-10-06,,Packaging,Delivered,1578,48.33,42.77,206.0,Yes,Pending,Verified,Paid,67491.06,,8773.679999999993,0.13054499366286437,High Risk
PO-00058,Delta_Logistics,2023-09-26,2023-10-01,MRO,Delivered,1204,39.29,35.44,,Yes,Completed,Verified,Paid,42669.759999999995,5.0,4635.4000000000015,,Low Risk
PO-00059,Epsilon_Group,2023-01-06,2023-01-22,MRO,Pending,1558,93.46,91.27,39.0,Yes,Completed,Pending,Not Paid,142198.66,16.0,3412.0199999999963,0.02503209242618742,Low Risk
PO-00060,Alpha_Inc,2023-08-15,2023-08-16,Packaging,Delivered,1892,32.99,28.81,35.0,Yes,Completed,Verified,Paid,54508.52,1.0,7908.560000000006,0.01849894291754757,Low Risk
PO-00061,Epsilon_Group,2022-07-16,2022-08-01,Packaging,Delivered,696,99.59,90.18,25.0,Yes,Completed,Verified,Paid,62765.280000000006,16.0,6549.359999999998,0.035919540229885055,Low Risk
PO-00062,Delta_Logistics,2023-12-23,2024-01-03,MRO,Partially Delivered,70,12.37,11.04,10.0,Yes,Completed,Pending,Not Paid,772.8,11.0,93.10000000000001,0.14285714285714285,High Risk
PO-00063,Gamma_Co,2022-03-13,2022-03-15,Raw Materials,Delivered,890,98.26,93.14,49.0,Yes,Completed,Verified,Paid,82894.6,2.0,4556.800000000004,0.0550561797752809,Low Risk
PO-00064,Alpha_Inc,2022-02-16,2022-03-04,MRO,Delivered,216,13.95,12.31,5.0,Yes,Completed,Verified,Paid,2658.96,16.0,354.2399999999997,0.023148148148148147,Low Risk
PO-00065,Delta_Logistics,2023-11-09,2023-11-12,Packaging,Delivered,1347,100.13,94.3,200.0,Yes,Completed,Verified,Paid,127022.09999999999,3.0,7853.0099999999975,0.14847809948032664,High Risk
PO-00066,Gamma_Co,2022-08-22,2022-08-25,Office Supplies,Partially Delivered,437,59.51,56.45,25.0,No,Completed,Pending,Not Paid,24668.65,3.0,1337.219999999998,0.057208237986270026,Low Risk
PO-00067,Alpha_Inc,2022-10-24,2022-10-26,Electronics,Delivered,650,103.84,88.28,12.0,Yes,Completed,Verified,Paid,57382.0,2.0,10114.000000000002,0.018461538461538463,Low Risk
PO-00068,Beta_Supplies,2022-03-23,2022-04-11,Office Supplies,Delivered,365,16.81,15.41,38.0,Yes,Completed,Verified,Paid,5624.65,19.0,510.9999999999995,0.10410958904109589,High Risk
PO-00069,Epsilon_Group,2022-08-27,,Raw Materials,Cancelled,63,61.94,53.8,,Yes,Pending,Pending,Not Paid,3389.3999999999996,,512.82,,Low Risk
PO-00070,Alpha_Inc,2022-04-14,2022-04-22,MRO,Delivered,291,98.7,87.02,9.0,Yes,Completed,Verified,Paid,25322.82,8.0,3398.880000000002,0.030927835051546393,Low Risk
PO-00071,Alpha_Inc,2023-01-25,2023-02-08,MRO,Cancelled,826,60.5,57.18,18.0,Yes,Completed,Pending,Not Paid,47230.68,14.0,2742.32,0.021791767554479417,Low Risk
PO-00072,Delta_Logistics,2022-10-12,2022-11-01,Electronics,Pending,1419,69.64,59.28,194.0,Yes,Completed,Pending,Not Paid,84118.32,20.0,14700.839999999998,0.13671599718111346,High Risk
PO-00073,Gamma_Co,2023-04-10,2023-04-27,Office Supplies,Delivered,614,78.06,73.95,40.0,Yes,Completed,Verified,Paid,45405.3,17.0,2523.5399999999995,0.06514657980456026,Low Risk
PO-00074,Alpha_Inc,2023-10-13,2023-10-28,Electronics,Delivered,947,56.25,54.25,19.0,Yes,Completed,Verified,Paid,51374.75,15.0,1894.0,0.02006335797254488,Low Risk
PO-00075,Epsilon_Group,2023-01-09,2023-01-28,Raw Materials,Delivered,1413,70.47,69.65,,Yes,Completed,Verified,Paid,98415.45000000001,19.0,1158.6599999999903,,Low Risk
PO-00076,Alpha_Inc,2022-06-16,,Office Supplies,Partially Delivered,141,64.15,58.32,,Yes,Pending,Pending,Not Paid,8223.12,,822.0300000000008,,Low Risk
PO-00077,Alpha_Inc,2023-01-15,2023-02-04,Office Supplies,Delivered,1440,96.57,83.87,36.0,Yes,Completed,Verified,Paid,120772.8,20.0,18287.999999999985,0.025,Low Risk
PO-00078,Delta_Logistics,2022-12-30,2023-01-03,Raw Materials,Delivered,1005,14.87,12.79,,No,Completed,Verified,Paid,12853.949999999999,4.0,2090.4,,Low Risk
PO-00079,Alpha_Inc,2022-08-03,,MRO,Delivered,1528,36.52,33.0,31.0,No,Pending,Verified,Paid,50424.0,,5378.560000000005,0.020287958115183247,Low Risk
PO-00080,Gamma_Co,2023-11-18,2023-11-25,MRO,Delivered,1501,106.05,100.99,77.0,No,Completed,Verified,Paid,151585.99,7.0,7595.060000000003,0.051299133910726186,Low Risk
PO-00081,Delta_Logistics,2022-10-01,2022-10-04,Packaging,Delivered,558,94.18,81.4,,No,Completed,Verified,Paid,45421.200000000004,3.0,7131.240000000001,,Low Risk
PO-00082,Beta_Supplies,2023-12-20,2023-12-26,MRO,Delivered,825,56.88,50.84,,Yes,Completed,Verified,Paid,41943.0,6.0,4982.999999999999,,Low Risk
PO-00083,Beta_Supplies,2023-12-01,2023-12-07,Electronics,Cancelled,84,73.38,71.42,9.0,Yes,Completed,Pending,Not Paid,5999.28,6.0,164.63999999999947,0.10714285714285714,High Risk
PO-00084,Delta_Logistics,2023-10-26,2023-11-10,Raw Materials,Delivered,255,38.64,33.59,27.0,No,Completed,Verified,Paid,8565.45,15.0,1287.7499999999993,0.10588235294117647,High Risk
PO-00085,Gamma_Co,2022-03-15,2022-03-31,MRO,Delivered,1154,27.2,26.07,58.0,Yes,Completed,Verified,Paid,30084.78,16.0,1304.0199999999988,0.05025996533795494,Low Risk
PO-00086,Delta_Logistics,2023-09-16,2023-09-24,Office Supplies,Delivered,1635,56.91,54.37,262.0,No,Completed,Verified,Paid,88894.95,8.0,4152.899999999999,0.1602446483180428,High Risk
PO-00087,Delta_Logistics,2023-10-13,2023-10-23,Raw Materials,Delivered,1945,46.19,40.12,278.0,No,Completed,Verified,Paid,78033.4,10.0,11806.150000000001,0.1429305912596401,High Risk
PO-00088,Delta_Logistics,2022-06-25,2022-07-10,MRO,Partially Delivered,1461,64.09,63.39,228.0,No,Completed,Pending,Not Paid,92612.79,15.0,1022.7000000000041,0.15605749486652978,High Risk
PO-00089,Delta_Logistics,2023-07-01,2023-07-09,Electronics,Delivered,1075,18.53,16.12,147.0,Yes,Completed,Verified,Paid,17329.0,8.0,2590.75,0.13674418604651162,High Risk
PO-00090,Alpha_Inc,2022-09-08,,Packaging,Delivered,1071,101.6,93.91,25.0,Yes,Pending,Verified,Paid,100577.61,,8235.989999999998,0.02334267040149393,Low Risk
PO-00091,Epsilon_Group,2022-06-17,2022-07-06,Packaging,Pending,1463,101.23,86.17,43.0,Yes,Completed,Pending,Not Paid,126066.71,19.0,22032.780000000002,0.02939166097060834,Low Risk
PO-00092,Beta_Supplies,2023-04-19,2023-04-26,Raw Materials,Delivered,615,78.3,73.68,69.0,Yes,Completed,Verified,Paid,45313.200000000004,7.0,2841.2999999999943,0.11219512195121951,High Risk
PO-00093,Gamma_Co,2023-01-24,2023-02-11,Electronics,Delivered,1179,61.74,56.28,,Yes,Completed,Verified,Paid,66354.12,18.0,6437.340000000001,,Low Risk
PO-00094,Alpha_Inc,2022-10-04,2022-10-09,Electronics,Partially Delivered,1845,39.56,37.63,45.0,Yes,Completed,Pending,Not Paid,69427.35,5.0,3560.8499999999995,0.024390243902439025,Low Risk
PO-00095,Beta_Supplies,2023-10-18,,Electronics,Cancelled,1895,91.98,86.27,170.0,Yes,Pending,Pending,Not Paid,163481.65,,10820.450000000015,0.08970976253298153,Low Risk
PO-00096,Epsilon_Group,2023-12-06,2023-12-09,MRO,Partially Delivered,1550,79.86,69.57,32.0,No,Completed,Pending,Not Paid,107833.49999999999,3.0,15949.50000000001,0.02064516129032258,Low Risk
PO-00097,Delta_Logistics,2023-07-25,2023-08-04,Packaging,Delivered,752,26.85,24.37,,No,Completed,Verified,Paid,18326.24,10.0,1864.9600000000003,,Low Risk
PO-00098,Epsilon_Group,2022-08-13,2022-09-01,Electronics,Delivered,451,95.2,90.07,21.0,Yes,Completed,Verified,Paid,40621.57,19.0,2313.630000000004,0.04656319290465632,Low Risk
PO-00099,Beta_Supplies,2023-12-03,,Office Supplies,Delivered,779,93.69,90.92,66.0,Yes,Pending,Verified,Paid,70826.68000000001,,2157.8299999999967,0.08472400513478819,Low Risk
PO-00100,Beta_Supplies,2022-11-29,2022-12-14,MRO,Pending,1629,100.26,86.44,187.0,No,Completed,Pending,Not Paid,140810.76,15.0,22512.780000000013,0.11479435236341314,High Risk
PO-00101,Alpha_Inc,2022-02-27,2022-02-22,Office Supplies,Delivered,211,75.69,65.4,2.0,Yes,Completed,Verified,Paid,13799.400000000001,-5.0,2171.1899999999982,0.009478672985781991,Low Risk
PO-00102,Alpha_Inc,2022-08-23,,Office Supplies,Delivered,251,67.49,64.48,2.0,Yes,Pending,Verified,Paid,16184.480000000001,,755.5099999999977,0.00796812749003984,Low Risk
PO-00103,Gamma_Co,2022-02-02,2022-02-18,Raw Materials,Delivered,1045,47.88,44.65,69.0,Yes,Completed,Verified,Paid,46659.25,16.0,3375.350000000004,0.0660287081339713,Low Risk
PO-00104,Delta_Logistics,2022-11-20,2022-12-10,MRO,Delivered,319,98.64,89.15,57.0,Yes,Completed,Verified,Paid,28438.850000000002,20.0,3027.3099999999986,0.1786833855799373,High Risk
PO-00105,Epsilon_Group,2023-02-15,2023-03-01,Office Supplies,Partially Delivered,1936,93.66,92.24,58.0,Yes,Completed,Pending,Not Paid,178576.63999999998,14.0,2749.1200000000035,0.029958677685950414,Low Risk
PO-00106,Delta_Logistics,2022-10-02,2022-10-22,MRO,Cancelled,865,14.7,13.14,135.0,No,Completed,Pending,Not Paid,11366.1,20.0,1349.399999999999,0.15606936416184972,High Risk
PO-00107,Epsilon_Group,2022-03-09,2022-03-12,Electronics,Delivered,1344,12.5,10.87,44.0,Yes,Completed,Verified,Paid,14609.279999999999,3.0,2190.720000000001,0.03273809523809524,Low Risk
PO-00108,Delta_Logistics,2022-08-05,2022-08-24,Raw Materials,Pending,505,45.42,40.37,62.0,Yes,Completed,Pending,Not Paid,20386.85,19.0,2550.2500000000023,0.12277227722772277,High Risk
PO-00109,Beta_Supplies,2023-08-04,2023-08-05,Packaging,Delivered,1535,90.83,78.28,151.0,No,Completed,Verified,Paid,120159.8,1.0,19264.249999999996,0.098371335504886,Low Risk
PO-00110,Beta_Supplies,2022-11-19,,Office Supplies,Delivered,1800,103.8,96.27,166.0,Yes,Pending,Verified,Paid,173286.0,,13554.000000000002,0.09222222222222222,Low Risk
PO-00111,Delta_Logistics,2022-08-06,2022-08-15,Raw Materials,Pending,1325,24.36,22.75,206.0,Yes,Completed,Pending,Not Paid,30143.75,9.0,2133.249999999999,0.15547169811320755,High Risk
PO-00112,Gamma_Co,2023-11-03,2023-11-09,Raw Materials,Delivered,1066,70.45,65.88,56.0,No,Completed,Verified,Paid,70228.08,6.0,4871.620000000008,0.0525328330206379,Low Risk
PO-00113,Beta_Supplies,2023-05-27,2023-06-11,Raw Materials,Delivered,1775,47.82,45.86,180.0,Yes,Completed,Verified,Paid,81401.5,15.0,3479.0000000000014,0.10140845070422536,High Risk
PO-00114,Gamma_Co,2023-02-10,,Raw Materials,Partially Delivered,345,103.62,98.09,25.0,No,Pending,Pending,Not Paid,33841.05,,1907.8500000000004,0.07246376811594203,Low Risk
PO-00115,Beta_Supplies,2023-10-21,2023-11-09,Electronics,Delivered,1798,94.8,91.83,,Yes,Completed,Verified,Paid,165110.34,19.0,5340.059999999998,,Low Risk
PO-00116,Alpha_Inc,2023-04-15,2023-05-01,MRO,Delivered,769,91.86,86.55,17.0,Yes,Completed,Verified,Paid,66556.95,16.0,4083.3900000000017,0.022106631989596878,Low Risk
PO-00117,Alpha_Inc,2022-05-27,,Packaging,Delivered,1822,53.23,47.49,39.0,Yes,Pending,Verified,Paid,86526.78,,10458.279999999992,0.021405049396267837,Low Risk
PO-00118,Delta_Logistics,2022-09-29,2022-10-13,Packaging,Delivered,387,49.23,45.41,61.0,Yes,Completed,Verified,Paid,17573.67,14.0,1478.3400000000001,0.15762273901808785,High Risk
PO-00119,Epsilon_Group,2022-05-23,2022-05-27,MRO,Delivered,928,35.3,32.52,26.0,Yes,Completed,Verified,Paid,30178.56,4.0,2579.8399999999947,0.028017241379310345,Low Risk
PO-00120,Alpha_Inc,2022-09-10,2022-09-21,Packaging,Partially Delivered,1126,15.68,14.97,27.0,Yes,Completed,Pending,Not Paid,16856.22,11.0,799.459999999999,0.023978685612788632,Low Risk
PO-00121,Beta_Supplies,2023-07-29,2023-08-14,Raw Materials,Cancelled,841,95.73,85.33,81.0,Yes,Completed,Pending,Not Paid,71762.53,16.0,8746.400000000005,0.09631391200951249,Low Risk
PO-00122,Beta_Supplies,2023-07-06,2023-07-19,Electronics,Delivered,1995,90.65,77.75,206.0,Yes,Completed,Verified,Paid,155111.25,13.0,25735.50000000001,0.10325814536340852,High Risk
PO-00123,Alpha_Inc,2022-09-27,2022-10-15,Raw Materials,Delivered,266,103.97,101.44,6.0,Yes,Completed,Verified,Paid,26983.04,18.0,672.9800000000002,0.022556390977443608,Low Risk
PO-00124,Alpha_Inc,2023-08-22,2023-08-25,Raw Materials,Cancelled,813,109.17,107.39,14.0,Yes,Completed,Pending,Not Paid,87308.07,3.0,1447.140000000001,0.017220172201722016,Low Risk
PO-00125,Epsilon_Group,2023-03-15,2023-03-26,Electronics,Delivered,237,64.19,59.01,7.0,Yes,Completed,Verified,Paid,13985.369999999999,11.0,1227.6599999999999,0.029535864978902954,Low Risk
PO-00126,Alpha_Inc,2023-08-21,2023-09-03,Office Supplies,Cancelled,429,86.73,75.09,9.0,Yes,Completed,Pending,Not Paid,32213.61,13.0,4993.56,0.02097902097902098,Low Risk
PO-00127,Delta_Logistics,2023-02-13,2023-02-14,Packaging,Delivered,542,101.21,93.11,78.0,No,Completed,Verified,Paid,50465.62,1.0,4390.199999999997,0.14391143911439114,High Risk
PO-00128,Epsilon_Group,2023-01-06,2023-01-24,Electronics,Delivered,1114,91.66,85.53,35.0,Yes,Completed,Verified,Paid,95280.42,18.0,6828.819999999995,0.03141831238779174,Low Risk
PO-00129,Alpha_Inc,2022-08-13,2022-08-15,MRO,Delivered,1230,33.39,30.85,26.0,Yes,Completed,Verified,Paid,37945.5,2.0,3124.199999999999,0.02113821138211382,Low Risk
PO-00130,Beta_Supplies,2022-05-22,2022-06-03,MRO,Delivered,64,51.56,50.88,5.0,Yes,Completed,Verified,Paid,3256.32,12.0,43.51999999999998,0.078125,Low Risk
PO-00131,Alpha_Inc,2023-06-06,2023-06-22,MRO,Delivered,1886,23.46,23.18,,Yes,Completed,Verified,Paid,43717.479999999996,16.0,528.0800000000022,,Low Risk
PO-00132,Delta_Logistics,2023-05-21,2023-05-23,Office Supplies,Delivered,114,103.53,101.54,14.0,Yes,Completed,Verified,Paid,11575.560000000001,2.0,226.85999999999942,0.12280701754385964,High Risk
PO-00133,Delta_Logistics,2022-04-04,2022-04-22,Electronics,Cancelled,1930,65.52,56.9,282.0,Yes,Completed,Pending,Not Paid,109817.0,18.0,16636.599999999995,0.1461139896373057,High Risk
PO-00134,Beta_Supplies,2022-02-18,2022-02-28,Office Supplies,Pending,1912,30.73,29.82,191.0,Yes,Completed,Pending,Not Paid,57015.840000000004,10.0,1739.9200000000003,0.09989539748953975,Low Risk
PO-00135,Epsilon_Group,2022-04-23,2022-05-09,MRO,Delivered,570,71.51,66.47,,Yes,Completed,Verified,Paid,37887.9,16.0,2872.8000000000034,,Low Risk
PO-00136,Beta_Supplies,2022-06-06,2022-06-26,Raw Materials,Delivered,1417,67.27,60.62,,Yes,Completed,Verified,Paid,85898.54,20.0,9423.049999999997,,Low Risk
PO-00137,Alpha_Inc,2023-10-05,2023-10-11,Raw Materials,Delivered,1202,46.67,44.13,21.0,No,Completed,Verified,Paid,53044.26,6.0,3053.079999999999,0.01747088186356073,Low Risk
